typeID,groupID,typeName,volume,iconID
"267","89","Scourge Torpedo","0.0500000000","1346"
"269","394","Mjolnir Auto-Targeting Light Missile I","0.0150000000","1336"
"270","92","Python Mine","0.1500000000","1007"
"377","38","Small Shield Extender I","5.0000000000","1044"
"380","38","Small Shield Extender II","5.0000000000","1044"
"393","39","Shield Recharger I","5.0000000000","83"
"394","39","Shield Recharger II","5.0000000000","83"
"399","40","Small Shield Booster I","5.0000000000","84"
"400","40","Small Shield Booster II","5.0000000000","84"
"405","41","'Micro' Remote Shield Booster","2.5000000000","86"
"406","41","Micro Remote Shield Booster II","2.5000000000","86"
"421","43","'Basic' Capacitor Recharger","5.0000000000","90"
"434","46","5MN Microwarpdrive I","10.0000000000","10149"
"438","46","1MN Afterburner II","5.0000000000","96"
"439","46","1MN Afterburner I","5.0000000000","96"
"440","46","5MN Microwarpdrive II","10.0000000000","10149"
"442","47","Cargo Scanner I","5.0000000000","106"
"443","48","Ship Scanner I","5.0000000000","107"
"444","49","Survey Scanner I","5.0000000000","2732"
"447","52","Warp Scrambler I","5.0000000000","3433"
"448","52","Warp Scrambler II","5.0000000000","3433"
"450","53","Gatling Pulse Laser I","5.0000000000","350"
"451","53","Dual Light Pulse Laser I","5.0000000000","350"
"452","53","Dual Light Beam Laser I","5.0000000000","352"
"453","53","Small Focused Pulse Laser I","5.0000000000","350"
"454","53","Small Focused Beam Laser I","5.0000000000","352"
"455","53","Quad Light Beam Laser I","10.0000000000","355"
"456","53","Focused Medium Pulse Laser I","10.0000000000","356"
"457","53","Focused Medium Beam Laser I","10.0000000000","355"
"458","53","Heavy Pulse Laser I","25.0000000000","356"
"459","53","Heavy Beam Laser I","25.0000000000","355"
"460","53","Dual Heavy Pulse Laser I","20.0000000000","360"
"461","53","Dual Heavy Beam Laser I","50.0000000000","361"
"462","53","Mega Pulse Laser I","50.0000000000","360"
"463","53","Mega Beam Laser I","50.0000000000","361"
"464","53","Tachyon Beam Laser I","50.0000000000","361"
"482","54","Miner II","5.0000000000","1061"
"483","54","Miner I","5.0000000000","1061"
"484","55","125mm Gatling AutoCannon I","5.0000000000","387"
"485","55","150mm Light AutoCannon I","5.0000000000","387"
"486","55","200mm AutoCannon I","5.0000000000","387"
"487","55","250mm Light Artillery Cannon I","5.0000000000","389"
"488","55","280mm Howitzer Artillery I","5.0000000000","389"
"489","55","Dual 180mm AutoCannon I","10.0000000000","386"
"490","55","220mm Vulcan AutoCannon I","10.0000000000","386"
"491","55","425mm AutoCannon I","10.0000000000","386"
"492","55","650mm Artillery Cannon I","25.0000000000","384"
"493","55","720mm Howitzer Artillery I","25.0000000000","384"
"494","55","Dual 425mm AutoCannon I","20.0000000000","381"
"495","55","Dual 650mm Repeating Cannon I","50.0000000000","381"
"496","55","800mm Repeating Cannon I","25.0000000000","381"
"497","55","1200mm Artillery Cannon I","50.0000000000","379"
"498","55","1400mm Howitzer Artillery I","50.0000000000","379"
"499","509","Light Missile Launcher I","5.0000000000","168"
"501","510","Heavy Missile Launcher I","10.0000000000","169"
"503","508","Torpedo Launcher I","20.0000000000","170"
"506","767","'Basic' Capacitor Power Relay","5.0000000000","90"
"508","770","'Basic' Shield Flux Coil","5.0000000000","83"
"509","768","'Basic' Capacitor Flux Coil","5.0000000000","90"
"518","59","'Basic' Gyrostabilizer","5.0000000000","1046"
"519","59","Gyrostabilizer II","5.0000000000","1046"
"520","59","Gyrostabilizer I","5.0000000000","1046"
"521","60","'Basic' Damage Control","5.0000000000","77"
"522","61","'Micro' Cap Battery","2.5000000000","89"
"523","62","Small Armor Repairer I","5.0000000000","80"
"524","63","Small Hull Repairer I","12.5000000000","21378"
"526","65","Stasis Webifier I","5.0000000000","1284"
"527","65","Stasis Webifier II","5.0000000000","1284"
"529","67","Small Remote Capacitor Transmitter I","5.0000000000","1035"
"530","68","Small Energy Nosferatu I","5.0000000000","1029"
"533","71","Small Energy Neutralizer I","5.0000000000","1283"
"561","74","75mm Gatling Rail I","5.0000000000","349"
"562","74","Light Electron Blaster I","5.0000000000","376"
"563","74","Light Ion Blaster I","5.0000000000","376"
"564","74","Light Neutron Blaster I","5.0000000000","376"
"565","74","150mm Railgun I","5.0000000000","349"
"566","74","Heavy Electron Blaster I","10.0000000000","371"
"567","74","Dual 150mm Railgun I","10.0000000000","370"
"568","74","Heavy Neutron Blaster I","25.0000000000","371"
"569","74","Heavy Ion Blaster I","10.0000000000","371"
"570","74","250mm Railgun I","25.0000000000","370"
"571","74","Electron Blaster Cannon I","50.0000000000","365"
"572","74","Dual 250mm Railgun I","20.0000000000","366"
"573","74","Neutron Blaster Cannon I","50.0000000000","365"
"574","74","425mm Railgun I","50.0000000000","366"
"575","74","Ion Blaster Cannon I","50.0000000000","365"
"577","76","Medium Capacitor Booster I","10.0000000000","1031"
"578","77","Multispectrum Shield Hardener I","5.0000000000","81"
"580","80","Burst Jammer I","5.0000000000","109"
"581","82","Passive Targeter I","25.0000000000","104"
"582","25","Bantam","20000.0000000000","None"
"583","25","Condor","18000.0000000000","None"
"584","25","Griffin","19400.0000000000","None"
"585","25","Slasher","17400.0000000000","None"
"586","25","Probe","19500.0000000000","None"
"587","25","Rifter","27289.0000000000","None"
"588","237","Reaper","15800.0000000000","None"
"589","25","Executioner","28100.0000000000","None"
"590","25","Inquisitor","28700.0000000000","None"
"591","25","Tormentor","24398.0000000000","None"
"592","25","Navitas","10000.0000000000","None"
"593","25","Tristan","26500.0000000000","None"
"594","25","Incursus","29500.0000000000","None"
"595","25","Gallente Police Ship","20400.0000000000","None"
"596","237","Impairor","28100.0000000000","None"
"597","25","Punisher","28600.0000000000","None"
"598","25","Breacher","20000.0000000000","None"
"599","25","Burst","17100.0000000000","None"
"600","25","Minmatar Peacekeeper Ship","12000.0000000000","None"
"601","237","Ibis","15000.0000000000","None"
"602","25","Kestrel","19700.0000000000","None"
"603","25","Merlin","16500.0000000000","None"
"605","25","Heron","18900.0000000000","None"
"606","237","Velator","24500.0000000000","None"
"607","25","Imicus","21500.0000000000","None"
"608","25","Atron","22500.0000000000","None"
"609","25","Maulus","23000.0000000000","None"
"613","25","Devourer","19100.0000000000","None"
"614","25","Fury","26000.0000000000","None"
"615","237","Immolator","17400.0000000000","None"
"616","25","Medusa","17500.0000000000","None"
"617","237","Echo","17660.0000000000","None"
"618","25","Lynx","22500.0000000000","None"
"619","25","Swordspine","21120.0000000000","None"
"620","26","Osprey","107000.0000000000","None"
"621","26","Caracal","92000.0000000000","None"
"622","26","Stabber","80000.0000000000","None"
"623","26","Moa","101000.0000000000","None"
"624","26","Maller","118000.0000000000","None"
"625","26","Augoror","115000.0000000000","None"
"626","26","Vexor","115000.0000000000","None"
"627","26","Thorax","112000.0000000000","None"
"628","26","Arbitrator","120000.0000000000","None"
"629","26","Rupture","96000.0000000000","None"
"630","26","Bellicose","85000.0000000000","None"
"631","26","Scythe","89000.0000000000","None"
"632","26","Blackbird","96000.0000000000","None"
"633","26","Celestis","116000.0000000000","None"
"634","26","Exequror","113000.0000000000","None"
"635","26","Opux Luxury Yacht","115000.0000000000","None"
"638","27","Raven","470000.0000000000","None"
"639","27","Tempest","450000.0000000000","None"
"640","27","Scorpion","468000.0000000000","None"
"641","27","Megathron","470000.0000000000","None"
"642","27","Apocalypse","470000.0000000000","None"
"643","27","Armageddon","470000.0000000000","None"
"644","27","Typhoon","414000.0000000000","None"
"645","27","Dominix","454500.0000000000","None"
"648","28","Badger","250000.0000000000","None"
"649","28","Tayra","270000.0000000000","None"
"650","28","Nereus","240000.0000000000","None"
"651","28","Hoarder","400000.0000000000","None"
"652","28","Mammoth","255000.0000000000","None"
"653","28","Wreathe","225000.0000000000","None"
"654","28","Kryos","245000.0000000000","None"
"655","28","Epithal","250000.0000000000","None"
"656","28","Miasmos","265000.0000000000","None"
"657","28","Iteron Mark V","275000.0000000000","None"
"670","29","Capsule","1000.0000000000","73"
"671","30","Erebus","145500000.0000000000","None"
"672","31","Caldari Shuttle","5000.0000000000","None"
"681","104","Clone Grade Beta Blueprint","0.0100000000","34"
"682","104","Clone Grade Gamma Blueprint","0.0100000000","34"
"683","105","Bantam Blueprint","0.0100000000","None"
"684","105","Condor Blueprint","0.0100000000","None"
"685","105","Griffin Blueprint","0.0100000000","None"
"686","106","Osprey Blueprint","0.0100000000","None"
"687","106","Caracal Blueprint","0.0100000000","None"
"688","107","Raven Blueprint","0.0100000000","None"
"689","105","Slasher Blueprint","0.0100000000","None"
"690","105","Probe Blueprint","0.0100000000","None"
"691","105","Rifter Blueprint","0.0100000000","None"
"692","106","Stabber Blueprint","0.0100000000","None"
"693","107","Tempest Blueprint","0.0100000000","None"
"784","134","Miner II Blueprint","0.0100000000","1061"
"785","134","Miner I Blueprint","0.0100000000","1061"
"786","136","Light Missile Launcher I Blueprint","0.0100000000","168"
"788","136","Heavy Missile Launcher I Blueprint","0.0100000000","169"
"790","136","Torpedo Launcher I Blueprint","0.0100000000","170"
"803","166","Mjolnir Cruise Missile Blueprint","0.0100000000","182"
"804","166","Scourge Cruise Missile Blueprint","0.0100000000","183"
"805","166","Inferno Cruise Missile Blueprint","0.0100000000","184"
"806","166","Nova Cruise Missile Blueprint","0.0100000000","185"
"807","166","Nova Heavy Missile Blueprint","0.0100000000","186"
"808","166","Mjolnir Heavy Missile Blueprint","0.0100000000","187"
"809","166","Inferno Heavy Missile Blueprint","0.0100000000","188"
"810","166","Scourge Heavy Missile Blueprint","0.0100000000","189"
"811","166","Scourge Light Missile Blueprint","0.0100000000","190"
"812","166","Inferno Light Missile Blueprint","0.0100000000","191"
"813","166","Mjolnir Light Missile Blueprint","0.0100000000","192"
"814","166","Nova Light Missile Blueprint","0.0100000000","193"
"819","135","125mm Gatling AutoCannon I Blueprint","0.0100000000","387"
"820","135","150mm Light AutoCannon I Blueprint","0.0100000000","387"
"821","135","200mm AutoCannon I Blueprint","0.0100000000","387"
"822","135","250mm Light Artillery Cannon I Blueprint","0.0100000000","389"
"823","135","280mm Howitzer Artillery I Blueprint","0.0100000000","389"
"824","135","Dual 180mm AutoCannon I Blueprint","0.0100000000","386"
"825","135","220mm Vulcan AutoCannon I Blueprint","0.0100000000","386"
"826","135","425mm AutoCannon I Blueprint","0.0100000000","386"
"827","135","650mm Artillery Cannon I Blueprint","0.0100000000","384"
"828","135","720mm Howitzer Artillery I Blueprint","0.0100000000","384"
"829","135","Dual 425mm AutoCannon I Blueprint","0.0100000000","381"
"830","135","Dual 650mm Repeating Cannon I Blueprint","0.0100000000","381"
"831","135","800mm Repeating Cannon I Blueprint","0.0100000000","381"
"832","135","1200mm Artillery Cannon I Blueprint","0.0100000000","379"
"833","135","1400mm Howitzer Artillery I Blueprint","0.0100000000","379"
"834","133","Gatling Pulse Laser I Blueprint","0.0100000000","350"
"835","133","Dual Light Pulse Laser I Blueprint","0.0100000000","350"
"836","133","Dual Light Beam Laser I Blueprint","0.0100000000","352"
"837","133","Small Focused Pulse Laser I Blueprint","0.0100000000","350"
"838","133","Small Focused Beam Laser I Blueprint","0.0100000000","352"
"839","133","Quad Light Beam Laser I Blueprint","0.0100000000","355"
"840","133","Focused Medium Pulse Laser I Blueprint","0.0100000000","356"
"841","133","Focused Medium Beam Laser I Blueprint","0.0100000000","355"
"842","133","Heavy Pulse Laser I Blueprint","0.0100000000","356"
"843","133","Heavy Beam Laser I Blueprint","0.0100000000","355"
"844","133","Dual Heavy Pulse Laser I Blueprint","0.0100000000","360"
"845","133","Dual Heavy Beam Laser I Blueprint","0.0100000000","361"
"846","133","Mega Pulse Laser I Blueprint","0.0100000000","360"
"847","133","Mega Beam Laser I Blueprint","0.0100000000","361"
"848","133","Tachyon Beam Laser I Blueprint","0.0100000000","361"
"879","165","Carbonized Lead S Blueprint","0.0100000000","1004"
"880","165","Nuclear S Blueprint","0.0100000000","1288"
"881","165","Proton S Blueprint","0.0100000000","1290"
"882","165","Depleted Uranium S Blueprint","0.0100000000","1285"
"883","165","Titanium Sabot S Blueprint","0.0100000000","1291"
"884","165","Fusion S Blueprint","0.0100000000","1287"
"885","165","Phased Plasma S Blueprint","0.0100000000","1289"
"886","165","EMP S Blueprint","0.0100000000","1286"
"887","165","Carbonized Lead M Blueprint","0.0100000000","1292"
"888","165","Nuclear M Blueprint","0.0100000000","1296"
"889","165","Proton M Blueprint","0.0100000000","1298"
"890","165","Depleted Uranium M Blueprint","0.0100000000","1293"
"891","165","Titanium Sabot M Blueprint","0.0100000000","1299"
"892","165","Fusion M Blueprint","0.0100000000","1295"
"893","165","Phased Plasma M Blueprint","0.0100000000","1297"
"894","165","EMP M Blueprint","0.0100000000","1294"
"895","165","Carbonized Lead L Blueprint","0.0100000000","1300"
"896","165","Nuclear L Blueprint","0.0100000000","1304"
"897","165","Proton L Blueprint","0.0100000000","1306"
"898","165","Depleted Uranium L Blueprint","0.0100000000","1301"
"899","165","Titanium Sabot L Blueprint","0.0100000000","1307"
"900","165","Fusion L Blueprint","0.0100000000","1303"
"901","165","Phased Plasma L Blueprint","0.0100000000","1305"
"902","165","EMP L Blueprint","0.0100000000","1302"
"935","105","Reaper Blueprint","0.0100000000","None"
"936","105","Executioner Blueprint","0.0100000000","None"
"937","105","Inquisitor Blueprint","0.0100000000","None"
"938","105","Tormentor Blueprint","0.0100000000","None"
"939","105","Navitas Blueprint","0.0100000000","None"
"940","105","Tristan Blueprint","0.0100000000","None"
"941","105","Incursus Blueprint","0.0100000000","None"
"943","105","Impairor Blueprint","0.0100000000","None"
"944","105","Punisher Blueprint","0.0100000000","None"
"945","105","Breacher Blueprint","0.0100000000","None"
"946","105","Burst Blueprint","0.0100000000","None"
"947","105","Minmatar Peacekeeper Ship Blueprint","0.0100000000","None"
"948","105","Ibis Blueprint","0.0100000000","None"
"949","105","Kestrel Blueprint","0.0100000000","None"
"950","105","Merlin Blueprint","0.0100000000","None"
"952","105","Heron Blueprint","0.0100000000","None"
"953","105","Velator Blueprint","0.0100000000","None"
"954","105","Imicus Blueprint","0.0100000000","None"
"955","105","Atron Blueprint","0.0100000000","None"
"956","105","Maulus Blueprint","0.0100000000","None"
"960","105","Devourer Blueprint","0.0100000000","None"
"961","105","Fury Blueprint","0.0100000000","None"
"962","105","Immolator Blueprint","0.0100000000","None"
"963","105","Medusa Blueprint","0.0100000000","None"
"964","105","Echo Blueprint","0.0100000000","None"
"965","105","Lynx Blueprint","0.0100000000","None"
"966","105","Swordspine Blueprint","0.0100000000","None"
"967","111","Caldari Shuttle Blueprint","0.0100000000","None"
"968","106","Moa Blueprint","0.0100000000","None"
"969","106","Maller Blueprint","0.0100000000","None"
"970","106","Augoror Blueprint","0.0100000000","None"
"971","106","Vexor Blueprint","0.0100000000","None"
"972","106","Thorax Blueprint","0.0100000000","None"
"973","106","Arbitrator Blueprint","0.0100000000","None"
"974","106","Rupture Blueprint","0.0100000000","None"
"975","106","Bellicose Blueprint","0.0100000000","None"
"976","106","Scythe Blueprint","0.0100000000","None"
"977","106","Blackbird Blueprint","0.0100000000","None"
"978","106","Celestis Blueprint","0.0100000000","None"
"979","106","Exequror Blueprint","0.0100000000","None"
"983","108","Badger Blueprint","0.0100000000","None"
"984","108","Tayra Blueprint","0.0100000000","None"
"985","108","Nereus Blueprint","0.0100000000","None"
"986","108","Hoarder Blueprint","0.0100000000","None"
"987","108","Mammoth Blueprint","0.0100000000","None"
"988","108","Wreathe Blueprint","0.0100000000","None"
"989","108","Kryos Blueprint","0.0100000000","None"
"990","108","Epithal Blueprint","0.0100000000","None"
"991","108","Miasmos Blueprint","0.0100000000","None"
"992","108","Iteron Mark V Blueprint","0.0100000000","None"
"994","107","Scorpion Blueprint","0.0100000000","None"
"995","107","Megathron Blueprint","0.0100000000","None"
"996","107","Apocalypse Blueprint","0.0100000000","None"
"997","107","Armageddon Blueprint","0.0100000000","None"
"998","107","Typhoon Blueprint","0.0100000000","None"
"999","107","Dominix Blueprint","0.0100000000","None"
"1002","110","Erebus Blueprint","0.0100000000","None"
"1010","118","Small Shield Extender I Blueprint","0.0100000000","1044"
"1013","118","Small Shield Extender II Blueprint","0.0100000000","1044"
"1026","119","Shield Recharger I Blueprint","0.0100000000","83"
"1027","119","Shield Recharger II Blueprint","0.0100000000","83"
"1032","120","Small Shield Booster I Blueprint","0.0100000000","84"
"1033","120","Small Shield Booster II Blueprint","0.0100000000","84"
"1067","126","5MN Microwarpdrive I Blueprint","0.0100000000","10149"
"1071","126","1MN Afterburner II Blueprint","0.0100000000","96"
"1072","126","1MN Afterburner I Blueprint","0.0100000000","96"
"1073","126","5MN Microwarpdrive II Blueprint","0.0100000000","10149"
"1074","127","Cargo Scanner I Blueprint","0.0100000000","106"
"1075","128","Ship Scanner I Blueprint","0.0100000000","107"
"1076","129","Survey Scanner I Blueprint","0.0100000000","2732"
"1079","132","Warp Scrambler I Blueprint","0.0100000000","3433"
"1080","132","Warp Scrambler II Blueprint","0.0100000000","3433"
"1095","139","Gyrostabilizer II Blueprint","0.0100000000","1046"
"1096","139","Gyrostabilizer I Blueprint","0.0100000000","1046"
"1099","142","Small Armor Repairer I Blueprint","0.0100000000","80"
"1100","143","Small Hull Repairer I Blueprint","0.0100000000","21378"
"1102","145","Stasis Webifier I Blueprint","0.0100000000","1284"
"1103","145","Stasis Webifier II Blueprint","0.0100000000","1284"
"1105","147","Small Remote Capacitor Transmitter I Blueprint","0.0100000000","1035"
"1106","148","Small Energy Nosferatu I Blueprint","0.0100000000","1029"
"1109","151","Small Energy Neutralizer I Blueprint","0.0100000000","1283"
"1112","154","75mm Gatling Rail I Blueprint","0.0100000000","349"
"1113","154","Light Electron Blaster I Blueprint","0.0100000000","376"
"1114","154","Light Ion Blaster I Blueprint","0.0100000000","376"
"1115","154","Light Neutron Blaster I Blueprint","0.0100000000","376"
"1116","154","150mm Railgun I Blueprint","0.0100000000","349"
"1117","154","Heavy Electron Blaster I Blueprint","0.0100000000","371"
"1118","154","Dual 150mm Railgun I Blueprint","0.0100000000","370"
"1119","154","Heavy Neutron Blaster I Blueprint","0.0100000000","371"
"1120","154","Heavy Ion Blaster I Blueprint","0.0100000000","371"
"1121","154","250mm Railgun I Blueprint","0.0100000000","370"
"1122","154","Electron Blaster Cannon I Blueprint","0.0100000000","365"
"1123","154","Dual 250mm Railgun I Blueprint","0.0100000000","366"
"1124","154","Neutron Blaster Cannon I Blueprint","0.0100000000","365"
"1125","154","425mm Railgun I Blueprint","0.0100000000","366"
"1126","154","Ion Blaster Cannon I Blueprint","0.0100000000","365"
"1128","156","Medium Capacitor Booster I Blueprint","0.0100000000","1031"
"1129","157","Multispectrum Shield Hardener I Blueprint","0.0100000000","81"
"1130","167","Iron Charge S Blueprint","0.0100000000","1311"
"1131","167","Tungsten Charge S Blueprint","0.0100000000","1315"
"1132","167","Iridium Charge S Blueprint","0.0100000000","1310"
"1133","167","Lead Charge S Blueprint","0.0100000000","1312"
"1134","167","Thorium Charge S Blueprint","0.0100000000","1314"
"1135","167","Uranium Charge S Blueprint","0.0100000000","1316"
"1136","167","Plutonium Charge S Blueprint","0.0100000000","1313"
"1137","167","Antimatter Charge S Blueprint","0.0100000000","1047"
"1138","167","Iron Charge M Blueprint","0.0100000000","1319"
"1139","167","Tungsten Charge M Blueprint","0.0100000000","1323"
"1140","167","Iridium Charge M Blueprint","0.0100000000","1318"
"1141","167","Lead Charge M Blueprint","0.0100000000","1320"
"1142","167","Thorium Charge M Blueprint","0.0100000000","1322"
"1143","167","Uranium Charge M Blueprint","0.0100000000","1324"
"1144","167","Plutonium Charge M Blueprint","0.0100000000","1321"
"1145","167","Antimatter Charge M Blueprint","0.0100000000","1317"
"1146","167","Iron Charge L Blueprint","0.0100000000","1327"
"1147","167","Tungsten Charge L Blueprint","0.0100000000","1331"
"1148","167","Iridium Charge L Blueprint","0.0100000000","1326"
"1149","167","Lead Charge L Blueprint","0.0100000000","1328"
"1150","167","Thorium Charge L Blueprint","0.0100000000","1330"
"1151","167","Uranium Charge L Blueprint","0.0100000000","1332"
"1152","167","Plutonium Charge L Blueprint","0.0100000000","1329"
"1153","167","Antimatter Charge L Blueprint","0.0100000000","1325"
"1154","168","Radio S Blueprint","0.0100000000","1145"
"1155","168","Microwave S Blueprint","0.0100000000","1143"
"1156","168","Infrared S Blueprint","0.0100000000","1144"
"1157","168","Standard S Blueprint","0.0100000000","1142"
"1158","168","Ultraviolet S Blueprint","0.0100000000","1141"
"1159","168","Xray S Blueprint","0.0100000000","1140"
"1160","168","Gamma S Blueprint","0.0100000000","1139"
"1161","168","Multifrequency S Blueprint","0.0100000000","1131"
"1162","168","Radio M Blueprint","0.0100000000","1145"
"1163","168","Microwave M Blueprint","0.0100000000","1143"
"1164","168","Infrared M Blueprint","0.0100000000","1144"
"1165","168","Standard M Blueprint","0.0100000000","1142"
"1166","168","Ultraviolet M Blueprint","0.0100000000","1141"
"1167","168","Xray M Blueprint","0.0100000000","1140"
"1168","168","Gamma M Blueprint","0.0100000000","1139"
"1169","168","Multifrequency M Blueprint","0.0100000000","1131"
